Date,Open,High,Low,Close,Adj Close,Volume
1/2/2014,79.382858,79.575714,78.860001,79.01857,73.52253,58671200
1/3/2014,78.980003,79.099998,77.204285,77.28286,71.907555,98116900
1/6/2014,76.778572,78.114288,76.228569,77.704285,72.299644,103152700
1/7/2014,77.760002,77.994286,76.845711,77.148575,71.782608,79302300
1/8/2014,76.972855,77.937141,76.955711,77.637146,72.23719,64632400
1/9/2014,78.114288,78.122856,76.478569,76.645714,71.314728,69787200
1/10/2014,77.118568,77.257141,75.872856,76.134285,70.838882,76244000
1/13/2014,75.701431,77.5,75.697144,76.53286,71.209717,94623200
1/14/2014,76.888573,78.104286,76.808571,78.055717,72.626656,83140400
1/15/2014,79.074287,80.028572,78.808571,79.622856,74.084801,97909700
1/16/2014,79.271431,79.550003,78.811432,79.178574,73.671394,57319500
1/17/2014,78.78286,78.867142,77.128571,77.238571,71.866348,106684900
1/21/2014,77.284286,78.581429,77.202858,78.438568,72.982872,82131700
1/22/2014,78.701431,79.612854,78.258568,78.78714,73.307205,94996300
1/23/2014,78.562859,79.5,77.830002,79.454285,73.927948,100809800
1/24/2014,79.14286,79.374283,77.821426,78.010002,72.584122,107338700
1/27/2014,78.581429,79.257141,77.964287,78.64286,73.172943,138719700
1/28/2014,72.68,73.571426,71.724289,72.35714,67.324432,266380800
1/29/2014,71.992859,72.48143,71.23143,71.535713,66.560143,125702500
1/30/2014,71.791428,72.35714,70.957146,71.397141,66.431213,169625400
1/31/2014,70.739998,71.647141,70.507141,71.514282,66.540199,116199300
2/3/2014,71.80143,72.53286,71.328575,71.647141,66.663811,100366000
2/4/2014,72.264282,72.779999,71.822861,72.684288,67.62883,94170300
2/5/2014,72.365715,73.611427,72.321426,73.227142,68.133934,82086200
2/6/2014,72.865715,73.35714,72.544289,73.215714,68.531052,64441300
2/7/2014,74.482857,74.704285,73.91143,74.239998,69.489799,92570100
2/10/2014,74.094284,75.998573,74,75.57,70.734695,86389800
2/11/2014,75.80143,76.821426,75.64286,76.565712,71.666718,70564200
2/12/2014,76.707146,77.080002,76.177139,76.559998,71.661362,77025200
2/13/2014,76.379997,77.835716,76.314285,77.775711,72.799271,76849500
2/14/2014,77.495712,77.997147,77.315712,77.71286,72.740463,68231100
2/18/2014,78,78.741432,77.944283,77.998573,73.007904,65062900
2/19/2014,77.821426,78.127144,76.335716,76.767143,71.855263,78442000
2/20/2014,76.141426,76.714287,75.571426,75.878571,71.023521,76464500
2/21/2014,76.112854,76.367142,74.942856,75.035713,70.234596,69696200
2/24/2014,74.735718,75.702858,74.631432,75.364288,70.542152,72227400
2/25/2014,75.625717,75.652855,74.428574,74.580002,69.808067,57988000
2/26/2014,74.80143,75,73.657143,73.907143,69.178246,69054300
2/27/2014,73.877144,75.540001,73.721428,75.381432,70.558205,75470500
2/28/2014,75.582855,76.10714,74.58857,75.177139,70.366982,92992200
3/3/2014,74.774284,75.807144,74.687141,75.394287,70.570236,59695300
3/4/2014,75.85714,76.091431,75.395714,75.891426,71.035568,64785000
3/5/2014,75.845711,76.39286,75.589996,76.05143,71.185341,50015700
3/6/2014,76.112854,76.348572,75.442856,75.821426,70.970055,46372200
3/7/2014,75.870003,75.997147,75.150002,75.777145,70.928604,55182400
3/10/2014,75.480003,76.190002,75.477142,75.845711,70.992775,44646000
3/11/2014,76.492859,76.96286,76.084282,76.584282,71.684082,69806100
3/12/2014,76.358574,76.764282,76,76.658569,71.753624,49831600
3/13/2014,76.777145,77.094284,75.594284,75.807144,70.956673,64435700
3/14/2014,75.541428,75.841431,74.714287,74.955711,70.159729,59299800
3/17/2014,75.385712,75.709999,75.121429,75.248573,70.433861,49886200
3/18/2014,75.128571,75.995712,75.028572,75.914284,71.056946,52411800
3/19/2014,76.03714,76.605713,75.571426,75.894287,71.038239,56189000
3/20/2014,75.69857,76.095711,75.335716,75.528572,70.695923,52099600
3/21/2014,75.989998,76.25,75.190002,76.124283,71.253517,93511600
3/24/2014,76.917145,77.214287,76.437141,77.027145,72.098618,88925200
3/25/2014,77.35714,77.964287,77.084282,77.855713,72.874161,70573300
3/26/2014,78.074287,78.428574,76.980003,77.111427,72.177513,74942000
3/27/2014,77.145714,77.35714,76.445717,76.779999,71.867294,55507900
3/28/2014,76.902855,76.991432,76.321426,76.694283,71.787056,50141000
3/31/2014,77.03286,77.258568,76.561432,76.677139,71.770996,42167300
4/1/2014,76.822861,77.410004,76.681427,77.378571,72.427544,50190000
4/2/2014,77.482857,77.639999,77.18,77.507141,72.547905,45105200
4/3/2014,77.341431,77.5,76.805717,76.970001,72.045128,40586000
4/4/2014,77.115715,77.14286,75.797142,75.974289,71.113136,68812800
4/7/2014,75.431427,75.842857,74.555717,74.781425,69.996613,72462600
4/8/2014,75.027145,75.160004,74.099998,74.777145,69.992584,60972100
4/9/2014,74.662857,75.784286,74.574287,75.760002,70.91256,51542400
4/10/2014,75.811432,76.034286,74.738571,74.78286,69.99794,59913000
4/11/2014,74.14286,74.690002,73.877144,74.230003,69.480453,67929400
4/14/2014,74.557144,74.594284,73.887146,74.525711,69.75724,51418500
4/15/2014,74.324287,74.519997,73.047142,73.994286,69.259811,66622500
4/16/2014,74.007141,74.441429,73.44857,74.144287,69.400215,53691400
4/17/2014,74.285713,75.394287,74.171425,74.991432,70.193161,71083600
4/21/2014,75.048569,76.019997,74.851425,75.881432,71.026222,45637200
4/22/2014,75.472855,75.975716,75.214287,75.957146,71.097084,50640800
4/23/2014,75.580002,75.875717,74.921425,74.964287,70.167747,98735000
4/24/2014,81.172859,81.428574,80.104286,81.110001,75.920242,189977900
4/25/2014,80.647141,81.71286,80.565712,81.705711,76.477829,97568800
4/28/2014,81.828575,85.10714,81.792854,84.870003,79.439636,167371400
4/29/2014,84.82,85.139999,84.215714,84.618568,79.204292,84344400
4/30/2014,84.662857,85.632858,84.257141,84.298569,78.904778,114160200
5/1/2014,84.571426,84.971428,83.765717,84.497147,79.09066,61012000
5/2/2014,84.620003,84.885712,84.244286,84.654289,79.23774,47878600
5/5/2014,84.305717,85.85714,84.285713,85.851425,80.358292,71766800
5/6/2014,85.971428,86.344284,84.915718,84.915718,79.482452,93641100
5/7/2014,85.035713,85.327141,83.961426,84.618568,79.204292,70716100
5/8/2014,84.035713,84.915718,83.771431,83.998573,79.063126,57574300
5/9/2014,83.505714,83.75,82.904289,83.648575,78.733696,72899400
5/12/2014,83.927139,84.808571,83.914284,84.690002,79.713921,53302200
5/13/2014,84.571426,84.934288,84.385712,84.822861,79.838974,39934300
5/14/2014,84.632858,85.342857,84.534286,84.83857,79.85376,41601000
5/15/2014,84.957146,85.228569,84.005714,84.117142,79.174721,57711500
5/16/2014,84.089996,85.361427,83.628571,85.358574,80.343224,69064100
5/19/2014,85.407143,86.761429,85.332855,86.370003,81.295219,79438800
5/20/2014,86.358574,86.628571,85.818573,86.387146,81.311363,58709000
5/21/2014,86.261429,86.671425,86.008568,86.615715,81.526489,49214900
5/22/2014,86.657143,87.121429,86.300003,86.752853,81.655579,50190000
5/23/2014,86.75,87.818573,86.638573,87.732857,82.578003,58052400
5/27/2014,87.982857,89.408569,87.947144,89.375717,84.124321,87216500
5/28/2014,89.431427,89.975716,89.111427,89.144287,83.906494,78870400
5/29/2014,89.692856,90.98143,89.681427,90.76857,85.435349,94118500
5/30/2014,91.139999,92.024284,89.842857,90.428574,85.115334,141005200
6/2/2014,90.565712,90.690002,88.928574,89.807144,84.530403,92337700
6/3/2014,89.779999,91.248573,89.75,91.077141,85.725792,73177300
6/4/2014,91.062859,92.555717,90.872856,92.117142,86.704674,83870500
6/5/2014,92.314285,92.767143,91.80143,92.478569,87.044861,75951400
6/6/2014,92.842857,93.03714,92.067146,92.224289,86.805527,87484600
6/9/2014,92.699997,93.879997,91.75,93.699997,88.194534,75415000
6/10/2014,94.730003,95.050003,93.57,94.25,88.712196,62777000
6/11/2014,94.129997,94.760002,93.470001,93.860001,88.345131,45681000
6/12/2014,94.040001,94.120003,91.900002,92.290001,86.867378,54749000
6/13/2014,92.199997,92.440002,90.879997,91.279999,85.91671,54525000
6/16/2014,91.510002,92.75,91.449997,92.199997,86.782669,35561000
6/17/2014,92.309998,92.699997,91.800003,92.080002,86.669724,29726000
6/18/2014,92.269997,92.290001,91.349998,92.18,86.76384,33514000
6/19/2014,92.290001,92.300003,91.339996,91.860001,86.462639,35528000
