Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2013-02-25,13.34700012,13.43449974,12.98250008,12.99349976,60648000,5.0,5.0,,4.0,4.0,6.0,
2013-02-26,13.04450035,13.10200024,12.78649998,12.96800041,66972000,,6.0,3.0,4.0,3.0,5.0,5.0
2013-02-27,12.97000027,13.29150009,12.84300041,13.16250038,58162000,12.0,7.0,14.0,4.0,10.0,10.0,9.0
2013-02-28,13.09049988,13.35000038,13.03149986,13.21350002,53344000,7.0,14.0,4.0,10.0,10.0,9.0,12.0
2013-03-01,13.16349983,13.32999992,13.05200005,13.2869997,59140000,16.0,,16.0,16.0,8.0,12.0,12.0
2013-03-04,13.26799965,13.66499996,13.20699978,13.65550041,69060000,,18.0,20.0,,15.0,15.0,8.0
2013-03-05,13.69999981,13.83399963,13.49950027,13.77950001,73724000,8.0,8.0,,6.0,6.0,4.0,
2013-03-06,13.78800011,13.82450008,13.59150028,13.68949986,41014000,,3.0,2.0,2.0,,7.0,
2013-03-07,13.70499992,13.73999977,13.59249973,13.69400024,38780000,4.0,4.0,4.0,6.0,12.0,3.0,3.0
2013-03-08,13.75,13.77200031,13.57499981,13.70950031,37596000,3.0,3.0,12.0,6.0,4.0,4.0,4.0
2013-03-11,13.67150021,13.69950008,13.52000046,13.56200027,38098000,,7.0,,2.0,2.0,3.0,
2013-03-12,13.55000019,13.86999989,13.51799965,13.70650005,64924000,,4.0,6.0,6.0,,8.0,8.0
2013-03-13,13.76200008,13.82499981,13.63199997,13.75500011,37684000,4.0,12.0,14.0,,12.0,15.0,9.0
2013-03-14,13.48349953,13.5,13.17650032,13.2869997,104534000,6.0,6.0,,6.0,6.0,6.0,
2013-03-15,13.2489996,13.36299992,13.00249958,13.0909996,97318000,,6.0,3.0,4.0,3.0,5.0,5.0
2013-03-18,12.96500015,13.07450008,12.85599995,12.89449978,54404000,8.0,4.0,8.0,4.0,5.0,8.0,5.0
2013-03-19,12.92000008,12.97500038,12.63099957,12.82050037,74770000,,10.0,,6.0,3.0,6.0,3.0
2013-03-20,12.90250015,12.98799992,12.72749996,12.86400032,54778000,,,9.0,,9.0,,
2013-03-21,12.80550003,12.85000038,12.63399982,12.66950035,56128000,,9.0,,9.0,,,
2013-03-22,12.72749996,12.88850021,12.60350037,12.88749981,62492000,12.0,4.0,12.0,15.0,,13.0,12.0
2013-03-25,12.9289999,12.9715004,12.72500038,12.80099964,50278000,3.0,3.0,10.0,,8.0,8.0,
2013-03-26,12.85249996,13.07400036,12.81400013,13.01550007,48420000,6.0,8.0,4.0,8.0,4.0,8.0,6.0
2013-03-27,12.9375,13.29650021,12.89500046,13.26500034,57498000,10.0,8.0,10.0,4.0,12.0,6.0,4.0
2013-03-28,13.29100037,13.36900043,13.20300007,13.32450008,49474000,6.0,9.0,,8.0,3.0,4.0,
2013-04-01,13.34899998,13.36999989,13.05049992,13.08049965,50496000,,3.0,2.0,2.0,,7.0,
2013-04-02,13.11999989,13.29450035,13.02750015,13.16600037,52622000,4.0,4.0,4.0,6.0,12.0,3.0,3.0
2013-04-03,13.10599995,13.18350029,12.88749981,12.95149994,48276000,2.0,2.0,6.0,4.0,2.0,4.0,
2013-04-04,12.96150017,13.02050018,12.80599976,12.95400047,39288000,,4.0,4.0,3.0,3.0,3.0,3.0
2013-04-05,12.78600025,12.80900002,12.68350029,12.77400017,51148000,,6.0,3.0,,3.0,6.0,
2013-04-08,12.79599953,12.98400021,12.78149986,12.94750023,45912000,10.0,7.0,4.0,7.0,9.0,7.0,6.0
2013-04-09,12.94250011,13.13049984,12.85000038,13.05700016,43132000,,4.0,8.0,,9.0,6.0,3.0
2013-04-10,13.08899975,13.29899979,12.9659996,13.23849964,46450000,4.0,15.0,,15.0,12.0,4.0,4.0
2013-04-11,13.23700047,13.54850006,13.23700047,13.49250031,61810000,18.0,,22.0,12.0,8.0,8.0,
2013-04-12,13.50599957,13.66349983,13.35099983,13.64350033,57326000,,14.0,4.0,9.0,9.0,,12.0
2013-04-15,13.5539999,13.75599957,13.35499954,13.38599968,66520000,5.0,3.0,4.0,4.0,,8.0,
2013-04-16,13.46549988,13.64000034,13.40299988,13.61699963,42744000,4.0,4.0,4.0,6.0,12.0,3.0,3.0
2013-04-17,13.53999996,13.54249954,13.21249962,13.36999989,62702000,2.0,2.0,6.0,4.0,2.0,4.0,
2013-04-18,13.34049988,13.3494997,12.82999992,12.97099972,62752000,,3.0,2.0,2.0,2.0,3.0,
2013-04-19,12.90799999,13.14400005,12.875,13.01599979,52050000,,8.0,4.0,3.0,6.0,3.0,6.0
